web-scraper-order,web-scraper-start-url,arrticles_link,arrticles_link-href,details,etat,adresse,prix,image_link,image_link-href
"1738941364-33","https://www.expat-dakar.com/equipements-pieces?page=2","amortisseur radiateur joint filtre pneu pare brise
                                Neuf
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        mardi, 13:35
                                    
                        778237562
                    
                        781568941","https://www.expat-dakar.com/annonce/amortisseur-radiateur-joint-filtre-pneu-pare-brise-6273460","amortisseur radiateur joint filtre pneu pare brise","Neuf","Plateau
            
                Dakar","","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941367-34","https://www.expat-dakar.com/equipements-pieces?page=2","GPS Tracker
                                Neuf
                                                                                    Guediawaye,
                                                                                Dakar
                                    
                                        mardi, 13:36
                                    
                    25 000 F Cfa
                        
                        775747519","https://www.expat-dakar.com/annonce/gps-tracker-6273482","GPS Tracker","Neuf","Guediawaye
            
                Dakar","25 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941369-35","https://www.expat-dakar.com/equipements-pieces?page=2","Souffleur d'air Portatif à Jet électrique rechargeable
                                Neuf
                                                                                    Castor,
                                                                                Dakar
                                    
                                        mardi, 17:53
                                    
                    15 000 F Cfa
                        
                        771452029
                    
                        762809427","https://www.expat-dakar.com/annonce/souffleur-dair-portatif-a-jet-electrique-rechargeable-6273683","Souffleur d'air Portatif à Jet électrique rechargeable","Neuf","Castor
            
                Dakar","15 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941372-36","https://www.expat-dakar.com/equipements-pieces?page=2","Leve vitre pour Jeep simple et grand cherokee
                                Neuf
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        mercredi, 12:07
                                    
                    65 000 F Cfa
                        
                        773224088
                    
                        775036639","https://www.expat-dakar.com/annonce/leve-vitre-pour-jeep-simple-et-grand-cherokee-6274354","Leve vitre pour Jeep simple et grand cherokee","Neuf","Parcelles Assainies
            
                Dakar","65 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941374-37","https://www.expat-dakar.com/equipements-pieces?page=2","PHARE LED BLANC POUR VOITURE
                                Neuf
                                                                                    Hlm,
                                                                                Dakar
                                    
                                        mercredi, 12:18
                                    
                    30 000 F Cfa
                        
                        776446766","https://www.expat-dakar.com/annonce/phare-led-blanc-pour-voiture-6274323","PHARE LED BLANC POUR VOITURE","Neuf","Hlm
            
                Dakar","30 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941376-38","https://www.expat-dakar.com/equipements-pieces?page=2","Nettoyeur Haute Pression sans Fil avec 2 batteries 48V
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        mercredi, 13:36
                                    
                    35 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/nettoyeur-haute-pression-sans-fil-avec-2-batteries-48v-6144839","Nettoyeur Haute Pression sans Fil avec 2 batteries 48V","Neuf","Grand-Dakar
            
                Dakar","35 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941379-39","https://www.expat-dakar.com/equipements-pieces?page=2","Bache voiture 4x4 et SUV imperméable et doublé en coton
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        mercredi, 13:54
                                    
                    25 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/bache-voiture-4x4-et-suv-impermeable-et-double-en-coton-5725977","Bache voiture 4x4 et SUV imperméable et doublé en coton","Neuf","Grand-Dakar
            
                Dakar","25 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941381-40","https://www.expat-dakar.com/equipements-pieces?page=2","# pare-brise automatique
                                Neuf
                                                                                    Médina,
                                                                                Dakar
                                    
                                        mercredi, 14:48
                                    
                    45 000 F Cfa
                        
                        777125150","https://www.expat-dakar.com/annonce/pare-brise-automatique-6274538","# pare-brise automatique","Neuf","Médina
            
                Dakar","45 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941386-41","https://www.expat-dakar.com/equipements-pieces?page=1","Traceur GPS avec option arrêt moteur
                                Neuf
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        Hier, 06:41
                                    
                    25 000 F Cfa
                        
                        772648918","https://www.expat-dakar.com/annonce/traceur-gps-avec-option-arret-moteur-6217622","Traceur GPS avec option arrêt moteur","Neuf","Hann maristes
            
                Dakar","25 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941389-42","https://www.expat-dakar.com/equipements-pieces?page=1","Scanner OBD2, Outil de diagnostic pour véhicules
                                Neuf
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        Hier, 06:42
                                    
                    20 000 F Cfa
                        
                        772648918","https://www.expat-dakar.com/annonce/scanner-obd2-outil-de-diagnostic-pour-vehicules-6217919","Scanner OBD2, Outil de diagnostic pour véhicules","Neuf","Hann maristes
            
                Dakar","20 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941391-43","https://www.expat-dakar.com/equipements-pieces?page=1","PNEUS : VOITURES ET CAMIONS
                                Neuf
                                                                                    Hann marinas,
                                                                                Dakar
                                    
                                        Hier, 11:23
                                    
                    40 000 F Cfa
                        
                        784766479","https://www.expat-dakar.com/annonce/pneus-voitures-et-camions-6220518","PNEUS : VOITURES ET CAMIONS","Neuf","Hann marinas
            
                Dakar","40 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941393-44","https://www.expat-dakar.com/equipements-pieces?page=1","Mini scanner auto Outil de diagnostic voitures Bluetooth
                                Neuf
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        Hier, 17:23
                                    
                    7 000 F Cfa
                        
                        784074746
                    
                        784485061
                    
                        781932453","https://www.expat-dakar.com/annonce/mini-scanner-auto-outil-de-diagnostic-voitures-bluetooth-6275680","Mini scanner auto Outil de diagnostic voitures Bluetooth","Neuf","Patte d‘oie
            
                Dakar","7 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941396-45","https://www.expat-dakar.com/equipements-pieces?page=1","Amortisseur
                                Neuf
                                                                                    Médina,
                                                                                Dakar
                                    
                                        Aujourd'hui, 08:39
                                    
                        781803232
                    
                        776132532
                    
                        776132532","https://www.expat-dakar.com/annonce/amortisseur-3953858","Amortisseur","Neuf","Médina
            
                Dakar","","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941398-46","https://www.expat-dakar.com/equipements-pieces?page=1","RADIATEUR
                                Neuf
                                                                                    Médina,
                                                                                Dakar
                                    
                                        Aujourd'hui, 08:39
                                    
                    60 000 F Cfa
                        
                        781803232
                    
                        776132532
                    
                        776132532","https://www.expat-dakar.com/annonce/radiateur-2783854","RADIATEUR","Neuf","Médina
            
                Dakar","60 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941400-47","https://www.expat-dakar.com/equipements-pieces?page=1","PARE-BRISE ET VERRE PORTE
                                Neuf
                                                                                    Médina,
                                                                                Dakar
                                    
                                        Aujourd'hui, 08:40
                                    
                    40 000 F Cfa
                        
                        781803232
                    
                        776132532
                    
                        776132532","https://www.expat-dakar.com/annonce/pare-brise-et-verre-porte-5845927","PARE-BRISE ET VERRE PORTE","Neuf","Médina
            
                Dakar","40 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941403-48","https://www.expat-dakar.com/equipements-pieces?page=1","Radio auto rav4
                                Venant
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        Aujourd'hui, 12:33
                                    
                    200 000 F Cfa
                        
                        779501832","https://www.expat-dakar.com/annonce/radio-auto-rav4-6256957","Radio auto rav4","Venant","Plateau
            
                Dakar","200 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941405-49","https://www.expat-dakar.com/equipements-pieces?page=1","Protège pare-brise
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        Aujourd'hui, 14:29
                                    
                    10 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/protege-pare-brise-6271372","Protège pare-brise","Neuf","Grand-Dakar
            
                Dakar","10 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
"1738941408-50","https://www.expat-dakar.com/equipements-pieces?page=1","Bache voiture 4x4 et SUV imperméable et doublé en coton
                                Neuf
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        Aujourd'hui, 14:30
                                    
                    25 000 F Cfa
                        
                        782963838
                    
                        762963434
                    
                        771874229","https://www.expat-dakar.com/annonce/bache-voiture-4x4-et-suv-impermeable-et-double-en-coton-5250882","Bache voiture 4x4 et SUV imperméable et doublé en coton","Neuf","Grand-Dakar
            
                Dakar","25 000 F Cfa","Équipements auto","https://www.expat-dakar.com/equipements-auto"
